,epoch,recall@1,recall@5,ndcg@5,recall@10,ndcg@10
0,5,0.21064823922880188,0.4577605498721228,0.3396147515913922,0.5792692861007279,0.37877961983476205
1,10,0.2169815438717293,0.4623748893370057,0.3456626116587095,0.5811069066004328,0.38392456597088165
2,15,0.22198673888451703,0.46255563889435375,0.34843753708500663,0.5844933479244541,0.38773965919880893
3,20,0.22208510599055675,0.46257561971276806,0.3485496376181937,0.5863409588333661,0.38846812208430426
4,25,0.2227835124434389,0.4653526460751525,0.3503441876655132,0.5863318906157781,0.38932310066596354
5,30,0.2252117966751918,0.46445412404092073,0.35096079232888844,0.5868804409305528,0.3904197426911951
6,35,0.22651116466653548,0.4675708243163486,0.3533711988445416,0.5891600986130238,0.3926060137954315
7,40,0.22610094309462914,0.46760048814676375,0.3532716430758066,0.5897882648042495,0.39268684349660193
8,45,0.22836938077906746,0.469567369171749,0.35520997189735837,0.591046441569939,0.39433062178291434
9,50,0.22965814356679126,0.4703772071119418,0.35635159071946165,0.5919474227818218,0.3955560187174292
10,55,0.2287012160633484,0.47083584374385207,0.35616229680574574,0.5931250614794413,0.39552938483003885
11,60,0.22911989105843006,0.4716641255164273,0.3568194907436221,0.5922661936848318,0.3956955389034526
12,65,0.2292088825496754,0.47287327242770016,0.3576243505162564,0.5931943795494786,0.3963915265869826
13,70,0.23094567676568956,0.47277490532166044,0.35833565654657834,0.5925553007574267,0.3969255723395845
14,75,0.2315072914617352,0.4724552122270313,0.35811027562602576,0.5935056192209325,0.39709173895820327
15,80,0.23074894255361006,0.4726656256147944,0.35827034667087077,0.5920058282510329,0.3967408307209952
16,85,0.23074832775919732,0.4725451259098957,0.35809632487483717,0.5945543047904781,0.3974639470935194
17,90,0.2303172031772575,0.47183519206177454,0.3576198924755223,0.5930960124434389,0.3966884974011954
18,95,0.22970748081841433,0.47317421429274054,0.35791773151515865,0.5933055036395829,0.39666955126109815
19,100,0.23202710013771394,0.4729638009049774,0.35869829132801123,0.5928253492032265,0.3973129427935375
20,105,0.23073680036395827,0.4737627262443439,0.35873599014959423,0.5931456570922683,0.3971896577479111
21,110,0.23065749188471377,0.47366343694668506,0.35865123226295004,0.5940441791265001,0.3974609194140285
22,Final,0.18952067553610072,0.415504192897895,0.3075404883353533,0.5358249926224671,0.34631119033320656
